artist,metascore,num_lyric_tracks,release_date,title,user_score,explicit_count,explicit_avg
Justin Bieber,57,17,14-Feb-20,Changes,5.7,4,0.23529411764705882
Beach Slang,59,11,10-Jan-20,The Deadbeat Bang of Heartbreak City,4.5,27,2.4545454545454546
James Taylor,60,16,28-Feb-20,American Standard,8.5,0,0.0
DaBaby,61,13,17-Apr-20,Blame It on Baby,4.5,333,25.615384615384617
Morrissey,62,11,20-Mar-20,I Am Not a Dog on a Chain,8.3,1,0.09090909090909091
Lil Wayne,62,24,31-Jan-20,Funeral,6.1,410,17.083333333333332
Niall Horan,63,14,13-Mar-20,Heartbreak Weather,8.7,0,0.0
Eminem,64,20,17-Jan-20,Music To Be Murdered By,8.5,206,10.3
Caleb Landry Jones,65,15,1-May-20,The Mother Stone,tbd,0,0.0
Mura Masa,65,11,17-Jan-20,R.Y.C.,6.3,13,1.1818181818181819
Best Coast,66,11,21-Feb-20,Always Tomorrow,7.8,3,0.2727272727272727
La Roux,67,8,7-Feb-20,Supervision,6.7,0,0.0
Green Day,68,0,7-Feb-20,Father of All…,5.3,0,0.0
Nathaniel Rateliff,68,10,14-Feb-20,And It's Still Alright,tbd,8,0.8
Ellis,68,0,3-Apr-20,Born Again,tbd,0,0.0
Porches,69,11,13-Mar-20,Ricky Music,6.8,13,1.1818181818181819
Deap Lips,69,10,13-Mar-20,Deap Lips,6.0,42,4.2
EOB,70,0,17-Apr-20,Earth,8.3,0,0.0
Poliça,70,0,31-Jan-20,When We Stay Alive,6.7,0,0.0
Wolf Parade,70,10,24-Jan-20,Thin Mind,8.1,1,0.1
Lee Ranaldo/Raül Refree,70,0,21-Feb-20,Names of North End Women,tbd,0,0.0
Moaning,70,13,20-Mar-20,Uneasy Laughter,tbd,0,0.0
Flat Worms,70,11,10-Apr-20,Antarctica,tbd,0,0.0
Diet Cig,70,10,1-May-20,Do You Wonder About Me?,7.5,3,0.3
Nicolas Godin,71,10,24-Jan-20,Concrete and Glass,tbd,0,0.0
Purity Ring,72,10,3-Apr-20,Womb,8.0,0,0.0
Sufjan Stevens,72,0,24-Mar-20,Aporia,6.7,0,0.0
Brendan Benson,72,11,24-Apr-20,Dear Life,tbd,4,0.36363636363636365
Poppy,72,10,10-Jan-20,I Disagree,8.3,0,0.0
J Balvin,72,10,20-Mar-20,Colores,6.9,0,0.0
Roger Eno,72,0,20-Mar-20,Mixing Colours,tbd,0,0.0
TOPS,72,11,3-Apr-20,I Feel Alive,8.5,1,0.09090909090909091
Hilary Woods,73,8,13-Mar-20,Birthmarks,tbd,0,0.0
Little Dragon,73,11,27-Mar-20,"New Me, Same Us",7.7,0,0.0
Hazel English,73,10,24-Apr-20,Wake UP!,7.7,11,1.1
Kesha,73,16,31-Jan-20,High Road,8.7,91,5.6875
The Orielles,73,10,28-Feb-20,Disco Volador,8.0,0,0.0
HMLTD,73,15,7-Feb-20,West of Eden,8.0,14,0.9333333333333333
The Districts,73,11,13-Mar-20,You Know I'm Not Going Anywhere,tbd,5,0.45454545454545453
King Krule,73,14,21-Feb-20,Man Alive!,8.1,4,0.2857142857142857
Harkin,73,0,24-Apr-20,Harkin,tbd,0,0.0
Algiers,73,11,17-Jan-20,There Is No Year,7.1,0,0.0
Field Music,73,19,10-Jan-20,Making a New World,7.1,0,0.0
Austra,74,11,1-May-20,Hirudin,7.8,0,0.0
Four Tet,74,16,13-Mar-20,Sixteen Oceans,7.7,0,0.0
Dan Deacon,74,11,31-Jan-20,Mystic Familiar,8.8,0,0.0
Agnes Obel,74,10,21-Feb-20,Myopia,8.0,0,0.0
Brooke Bentham,74,11,28-Feb-20,Everyday Nothing,tbd,1,0.09090909090909091
Anna Burch,74,12,3-Apr-20,If You're Dreaming,7.1,0,0.0
Bombay Bicycle Club,74,11,17-Jan-20,Everything Else Has Gone Wrong,6.9,0,0.0
Holy Fuck,75,9,17-Jan-20,Deleter,7.4,4,0.4444444444444444
Mandy Moore,75,12,6-Mar-20,Silver Landings,8.4,1,0.08333333333333333
Cable Ties,75,1,27-Mar-20,Far Enough,tbd,0,0.0
Spinning Coin,75,0,21-Feb-20,Hyacinth,tbd,0,0.0
M. Ward,75,11,3-Apr-20,Migration Stories,7.6,0,0.0
Ala.Ni,75,11,31-Jan-20,ACCA,tbd,0,0.0
Pet Shop Boys,75,10,24-Jan-20,Hotspot,7.5,5,0.5
The Strokes,75,9,10-Apr-20,The New Abnormal,9.1,2,0.2222222222222222
Humanist,75,15,21-Feb-20,HUMANIST,tbd,1,0.06666666666666667
