2019,2018,2017,2016,2015
Ghosteen,Room 25,DAMN.,Skeleton Tree,To Pimp a Butterfly
96,93,95,95,96
Nick Cave & the Bad Seeds,Noname,Kendrick Lamar,Nick Cave & the Bad Seeds,Kendrick Lamar
User: 8.7,User: 8.4,User: 8.4,User: 8.3,User: 8.8
4-Oct-19,14-Sep-18,14-Apr-17,9-Sep-16,16-Mar-15
Titanic Rising,Time Will Die and Love Will Bury It,A Crow Looked at Me,Lemonade,Carrie & Lowell
91,92,93,92,90
Weyes Blood,Rolo Tomassi,Mount Eerie,Beyoncé,Sufjan Stevens
User: 9.0,User: 7.1,User: 8.0,User: 7.8,User: 8.9
5-Apr-19,2-Mar-18,24-Mar-17,23-Apr-16,31-Mar-15
Grey Area,Holy Hell,Melodrama,You Want It Darker,No Cities to Love
91,90,91,92,90
Little Simz,Architects,Lorde,Leonard Cohen,Sleater-Kinney
User: 8.3,User: 8.9,User: 8.8,User: 8.3,User: 8.2
1-Mar-19,9-Nov-18,16-Jun-17,21-Oct-16,20-Jan-15
Gold & Grey,Honey,The Dusk in Us,We Got It From Here...Thank You 4 Your Service,Apex Predator - Easy Meat
91,89,89,91,89
Baroness,Robyn,Converge,A Tribe Called Quest,Napalm Death
User: 7.4,User: 8.5,User: 7.6,User: 8.7,User: 7.2
14-Jun-19,26-Oct-18,3-Nov-17,11-Nov-16,27-Jan-15
Jimmy Lee,Safe In The Hands Of Love,"Eternity, In Your Arms",Coloring Book [Mixtape],The Fade in Time
90,89,89,89,89
Raphael Saadiq,Yves Tumor,Creeper,Chance the Rapper,Sam Lee
User: 5.8,User: 7.9,User: 7.6,User: 8.3,User: 5.6
23-Aug-19,5-Sep-18,24-Mar-17,13-May-16,16-Mar-15
Eve,Chris,Black Origami,A Seat at the Table,Hand.Cannot.Erase.
90,89,89,89,89
Rapsody,Christine and the Queens,Jlin,Solange,Steven Wilson
User: 8.0,User: 7.9,User: 7.1,User: 8.4,User: 8.7
23-Aug-19,21-Sep-18,19-May-17,30-Sep-16,3-Mar-15
Psychodrama,Golden Hour,Big Fish Theory,American Band,Divers
90,89,89,88,88
Dave,Kacey Musgraves,Vince Staples,Drive-By Truckers,Joanna Newsom
User: 7.9,User: 8.6,User: 8.3,User: 7.9,User: 8.2
